"","ayah_density","surah_no","surahs_ar","surahs_en","ayah_count"
"80",45,80,"عَبَسَ ","‘Abasa",42
"94",40,94,"الشَّرح ","Ash-Sharḥ",8
"102",40,102,"التَّكاثُر ","At-Takāthur",8
"92",39.375,92,"اللَّيل ","Al-Lail",21
"86",36.4285714285714,86,"الطَّارق ","Aṭ-Ṭāriq",17
"81",36.25,81,"التَّكوير ","At-Takwīr",29
"87",35.625,87,"الأعلى ","Al-A‘lā",19
"96",35.625,96,"العَلَق ","Al-‘Alaq",19
"88",35.4545454545455,88,"الغَاشِية ","Al-Ghāshiyah",26
"75",35.2941176470588,75,"القِيَامة ","Al-Qiyāmah",40
"77",34.0909090909091,77,"المُرسَلات ","Al-Mursalāt",50
"104",33.75,104,"الهُمَزة ","Al-Humazah",9
"90",33.3333333333333,90,"البَلَد ","Al-Balad",20
"93",33,93,"الضُّحى ","Aḍ-Ḍuḥā",11
"101",33,101,"القَارعَة ","Al-Qāri‘ah",11
"100",33,100,"العَاديَات ","Al-‘Ādiyāt",11
"79",32.8571428571429,79,"النَّازعَات ","An-Nāzi‘āt",46
"74",32.3076923076923,74,"المُدثر ","Al-Muddaththir",56
"91",32.1428571428571,91,"الشَّمس ","Ash-Shams",15
"82",31.6666666666667,82,"الانفِطَار ","Al-Infiṭār",19
"84",31.25,84,"الانشِقَاق ","Al-Inshiqāq",25
"56",30.6382978723404,56,"الوَاقِعة ","Al-Wāqi‘ah",96
"95",30,95,"التِّين ","At-Tīn",8
"99",30,99,"الزَّلزَلة ","Az-Zalzalah",8
"109",30,109,"الكافِرون ","Al-Kāfirūn",6
"112",30,112,"الإخلَاص ","Al-Ikhlāṣ",4
"78",30,78,"النَّبَإ ","An-Naba’",40
"69",28.8888888888889,69,"الحَاقة ","Al-Ḥāqqah",52
"83",28.4210526315789,83,"المُطَففين ","Al-Muṭaffifīn",36
"89",28.125,89,"الفَجر ","Al-Fajr",30
"70",27.5,70,"المَعَارج ","Al-Ma‘ārij",44
"85",27.5,85,"البُرُوج ","Al-Burūj",22
"37",26.504854368932,37,"الصَّافَات ","Aṣ-Ṣāffāt",182
"107",26.25,107,"المَاعُون ","Al-Mā‘ūn",7
"55",26,55,"الرَّحمٰن ","Ar-Raḥmān",78
"53",25.1351351351351,53,"النَّجم ","An-Najm",62
"97",25,97,"القَدر ","Al-Qadr",5
"105",25,105,"الفِيل ","Al-Fīl",5
"111",25,111,"المَسَد ","Al-Masad",5
"113",25,113,"الفَلَق ","Al-Falaq",5
"68",24.375,68,"القَلَم ","Al-Qalam",52
"51",23.0769230769231,51,"الذَّاريَات ","Adh-Dhāriyāt",60
"26",23.0067567567568,26,"الشعراء ","Ash-Shu‘arā’",227
"103",22.5,103,"العَصر ","Al-‘Aṣr",3
"108",22.5,108,"الكَوثر ","Al-Kauthar",3
"114",22.5,114,"النَّاس ","An-Nās",6
"54",21.7105263157895,54,"القَمَر ","Al-Qamar",55
"44",20.5813953488372,44,"الدُّخان ","Ad-Dukhān",59
"52",20.4166666666667,52,"الطُّور ","Aṭ-Ṭūr",49
"106",20,106,"قُرَيش ","Quraish",4
"15",18.7974683544304,15,"الحِجر ","Al-Ḥijr",99
"76",18.6,76,"الإنسَان ","Al-Insān",31
"71",17.5,71,"نُوح ","Nūḥ",28
"38",17.3684210526316,38,"صٓ ","Ṣād",88
"50",17.3076923076923,50,"قٓ ","Qāf",45
"1",15,1,"الفَاتِحة ","Al-Fātiḥah",7
"72",15,72,"الجِن ","Al-Jinn",28
"110",15,110,"النَّصر ","An-Naṣr",3
"23",15,23,"المؤمنُون ","Al-Mu’minūn",118
"73",15,73,"المُزمل ","Al-Muzzammil",20
"36",14.6470588235294,36,"يسٓ ","Yā-Sīn",83
"20",14.0625,20,"طه ","Ṭā-Hā",135
"19",13.7383177570093,19,"مَريَم ","Maryam",98
"67",13.6363636363636,67,"المُلك ","Al-Mulk",30
"43",13.4848484848485,43,"الزُّخرُف ","Az-Zukhruf",89
"98",12,98,"البَينَة ","Al-Bayyinah",8
"21",11.3513513513514,21,"الأنبيَاء ","Al-Anbiyā’",112
"45",11.3265306122449,45,"الجاثِية ","Al-Jāthiyah",37
"27",11.16,27,"النَّمل ","An-Naml",93
"25",10.6944444444444,25,"الفُرقَان ","Al-Furqān",77
"32",10.4651162790698,32,"السَّجدة ","As-Sajdah",30
"47",9.82758620689655,47,"مُحمد ","Muḥammad",38
"18",9.76331360946746,18,"الكَهف ","Al-Kahf",110
"17",9.68023255813953,17,"الإسرَاء ","Al-Isrā’",111
"64",9.64285714285714,64,"التغَابُن ","At-Taghābun",18
"30",9.57446808510638,30,"الرُّوم ","Ar-Rūm",60
"61",9.54545454545454,61,"الصَّف ","Aṣ-Ṣaff",14
"41",9.20454545454545,41,"فُصِّلَت ","Fuṣṣilat",54
"16",8.84792626728111,16,"النَّحل ","An-Naḥl",128
"31",8.79310344827586,31,"لُقمَان ","Luqmān",34
"11",8.78571428571429,11,"هُود ","Hūd",123
"40",8.73287671232877,40,"غَافِر ","Ghāfir",85
"62",8.68421052631579,62,"الجُمعَة ","Al-Jumu‘ah",11
"42",8.64130434782609,42,"الشُّوري ","Ash-Shūra",53
"29",8.625,29,"العَنكبُوت ","Al-‘Ankabūt",69
"34",8.52631578947368,34,"سَبإ ","Saba’",54
"39",8.52272727272727,39,"الزُّمَر ","Az-Zumar",75
"12",8.325,12,"يُوسُف ","Yūsuf",111
"10",8.21608040201005,10,"يُونس ","Yūnus",109
"28",8.09815950920245,28,"القَصَص ","Al-Qaṣaṣ",88
"35",8.03571428571428,35,"فَاطِر ","Fāṭir",45
"7",7.9639175257732,7,"الأعرَاف ","Al-A‘rāf",206
"22",7.90540540540541,22,"الحج ","Al-Ḥajj",78
"46",7.83582089552239,46,"الأحقَاف ","Al-Aḥqāf",35
"14",7.72277227722772,14,"إبراهِيم ","Ibrāhīm",52
"8",7.60135135135135,8,"الأنفَال ","Al-Anfāl",75
"63",7.5,63,"المُنَافِقُونَ ","Al-Munāfiqūn",11
"3",7.44416873449132,3,"آل عِمران ","Āl-‘Imrān",200
"33",7.39864864864865,33,"الأحزَاب ","Al-Aḥzāb",73
"49",7.2972972972973,49,"الحُجُرَات ","Al-Ḥujurāt",18
"6",7.21574344023324,6,"الأنعَام ","Al-An‘ām",165
"13",7.16666666666667,13,"الرَّعد ","Ar-Ra‘d",43
"59",6.92307692307692,59,"الحَشر ","Al-Ḥashr",24
"57",6.9047619047619,57,"الحدِيد ","Al-Ḥadīd",29
"48",6.796875,48,"الفَتح ","Al-Fatḥ",29
"58",6.73469387755102,58,"المُجَادلة ","Al-Mujādilah",22
"24",6.71328671328671,24,"النور ","An-Nūr",64
"65",6.42857142857143,65,"الطَّلَاق ","Aṭ-Ṭalāq",12
"66",6.42857142857143,66,"التَّحرِيم ","At-Taḥrīm",12
"9",6.1624203821656,9,"التوبَة ","At-Taubah",129
"2",6.0337552742616,2,"البَقَرَة ","Al-Baqarah",286
"4",6.02739726027397,4,"النِّسَاء ","An-Nisā’",176
"60",5.73529411764706,60,"المُمتَحنَة ","Al-Mumtaḥanah",13
"5",5.57275541795666,5,"المَائدة ","Al-Mā’idah",120
